timestamp,model_name,prompt,prompt_tokens,completion_tokens,total_tokens,response_time_ms,tokens_per_second,temperature,cpu_model,cpu_cores,cpu_usage_percent,cpu_speed,total_memory_gb,memory_usage_percent,gpu_model,gpu_vendor,os
2025-02-13T20:08:12.371Z,llama-3.2-3b-instruct,Hello,175,25,200,249,802.09,0.5,AMD Ryzen 5 5600X 6-Core Processor,12,1.69,3700,64,40,AMD Radeon RX 6900 XT,Advanced Micro Devices, Inc.,Windows_NT-10.0.22631
2025-02-13T20:08:19.779Z,llama-3.2-3b-instruct,What is Python?,574,24,598,569,1051.51,0.5,AMD Ryzen 5 5600X 6-Core Processor,12,1.69,3700,64,40,AMD Radeon RX 6900 XT,Advanced Micro Devices, Inc.,Windows_NT-10.0.22631
2025-02-13T20:08:28.828Z,llama-3.2-3b-instruct,What are functions in Python?,860,23,883,671,1315.08,0.5,AMD Ryzen 5 5600X 6-Core Processor,12,1.69,3700,64,40,AMD Radeon RX 6900 XT,Advanced Micro Devices, Inc.,Windows_NT-10.0.22631
2025-02-13T20:25:17.909Z,llama-3.2-3b-instruct,Hello,175,2,177,117,1517.53,0.5,AMD Ryzen 5 5600X 6-Core Processor,12,1.69,3700,64,40,AMD Radeon RX 6900 XT,Advanced Micro Devices, Inc.,Windows_NT-10.0.22631
2025-02-13T20:25:23.169Z,llama-3.2-3b-instruct,What are functions in Python?,860,23,883,668,1322.83,0.5,AMD Ryzen 5 5600X 6-Core Processor,12,1.69,3700,64,40,AMD Radeon RX 6900 XT,Advanced Micro Devices, Inc.,Windows_NT-10.0.22631
2025-02-13T21:30:42.761Z,llama-3.2-3b-instruct,What is a Trojan Horse in relation to computer security?,950,41,991,918,1079.7,0.5,AMD Ryzen 5 5600X 6-Core Processor,12,1.65,3700,64,40,AMD Radeon RX 6900 XT,Advanced Micro Devices, Inc.,Windows_NT-10.0.22631
2025-02-13T21:31:15.453Z,llama-3.2-3b-instruct,What is a Denial of Service attack?,980,69,1049,1230,852.93,0.5,AMD Ryzen 5 5600X 6-Core Processor,12,1.65,3700,64,40,AMD Radeon RX 6900 XT,Advanced Micro Devices, Inc.,Windows_NT-10.0.22631
2025-02-17T18:20:36.735Z,llama-3.2-3b-instruct,Hello,175,9,184,3641,50.54,0.5,AMD Ryzen 5 5600X 6-Core Processor,12,1.58,3700,64,30,AMD Radeon RX 6900 XT,Advanced Micro Devices, Inc.,Windows_NT-10.0.22631
2025-02-21T03:46:50.578Z,llama-3.2-3b-instruct,What are tuples in Python?,516,35,551,4156,132.57,0.5,AMD Ryzen 5 5600X 6-Core Processor,12,0,3700,64,30,AMD Radeon RX 6900 XT,Advanced Micro Devices, Inc.,Windows_NT-10.0.22631
2025-02-21T03:47:32.465Z,llama-3.2-3b-instruct,What are tuples in Python?,180,25,205,325,631.34,0.5,AMD Ryzen 5 5600X 6-Core Processor,12,0,3700,64,30,AMD Radeon RX 6900 XT,Advanced Micro Devices, Inc.,Windows_NT-10.0.22631
